,tilt x,L3 tilt x,L2 tilt x,L1 tilt x,W tilt x,tilt y,L3 tilt y,L2 tilt y,L1 tilt y,W tilt y,thickness,FP-L3 d,L3-L2 d,L2-L1 d,L1-W d,dec x,L3 dec x,L2 dec x,L1 dec x,W dec x,dec y,L3 dec y,L2 dec y,L1 dec y,W dec y
58,0.6399999999999997,0.9543921682119182,0.9643034960293244,0.9622127052184136,0.9617010793630126,0.6399999999999997,0.9610716739160783,0.9619973568376823,0.9623831382124086,0.9617560546565446,2.3999999999999986,0.9503037800667293,0.9604194568248393,0.9586306870186739,0.956733879226103,6.400000000000006,0.9433781897235113,0.9553825608132765,0.9655797946700764,0.9617357498087813,6.400000000000006,0.9626341979729903,0.9211956971171482,0.9638536921625012,0.9618664996659849
59,0.7199999999999998,0.9532859219792074,0.9644875127542122,0.9622683621831931,0.9616965893965214,0.7199999999999998,0.960796720502301,0.9618777170380257,0.9624601177917377,0.9617585449765826,2.6999999999999993,0.9479473827245916,0.9601551065505938,0.9580324292497745,0.9557680006477909,7.200000000000003,0.9399844058455458,0.9503275439760729,0.9661501847514298,0.9617357498087816,7.200000000000003,0.9614880460103796,0.919822949278658,0.964283936908303,0.9618818555340686
60,0.7999999999999998,0.9521385648109449,0.9646395394635273,0.9623231454037121,0.961692063729748,0.7999999999999998,0.960479208104883,0.9617234421260163,0.9625362249324827,0.9617610242894905,3.0,0.945390067494806,0.9598683574178992,0.9573884101634256,0.9547271394793784,8.0,0.9363801792057099,0.9443847161656995,0.966879220757972,0.9617357498087783,8.0,0.9600820367603258,0.919432193880388,0.9648377216183124,0.9618969918440796
61,0.8799999999999999,0.9509503402114514,0.9647590873084027,0.9623770567189253,0.9616875020781839,0.8799999999999999,0.9601191914825038,0.9615342860226406,0.9626114605984644,0.9617634925540578,3.3000000000000007,0.942633735626987,0.9595591521325514,0.9566989250726344,0.9536115582974056,8.800000000000004,0.9325775514173558,0.9375812052602092,0.9678929692567817,0.9617357498087971,8.800000000000004,0.9584252322569935,0.9199898398880724,0.9656924760678096,0.9619119085753484
62,0.96,0.949721499284352,0.9648456604357655,0.962430097847986,0.9616829040843298,0.96,0.9597167328054526,0.961309998540325,0.9626858257016341,0.961765949634069,3.599999999999998,0.939680410944023,0.9592274364367462,0.9559642746280457,0.9524215368289312,9.600000000000001,0.9285889682999391,0.9302290520295031,0.9685823735462613,0.9617357498087776,9.600000000000001,0.9565275916903198,0.9209942591161948,0.9667464729924241,0.9619266056880591
63,1.04,0.9484523016660741,0.9648987561687629,0.9624822704177902,0.9616782694719963,1.04,0.9592719017696203,0.9610503251400986,0.9627593210189517,0.9617683954004873,3.8999999999999986,0.9365322372758159,0.9588731590596482,0.9551847647810376,0.951157371804527,10.400000000000006,0.9246890070932088,0.9234584675210137,0.9694151784275031,0.9617357498087711,10.400000000000006,0.9543998532925356,0.9238738477331003,0.967423625003131,0.9619410832117609
64,1.12,0.9471748555253657,0.964917865589331,0.9625335760433373,0.961673597873674,1.12,0.9587847779298491,0.9607550071513141,0.9628319473167282,0.9617708297489952,4.199999999999999,0.9331914768869812,0.9584962718111867,0.9543607065299581,0.9498193769287532,11.200000000000003,0.9208299580068667,0.9190958371832302,0.9705576822616483,0.9617357498087703,11.200000000000003,0.9520534121960844,0.9287694828465621,0.9681266534250345,0.9619553411045574
65,1.2000000000000002,0.9459244862818269,0.9649024738071339,0.9625840161379748,0.961668889023196,1.2000000000000002,0.9582554493572446,0.9604237816718676,0.9629037052262194,0.9617732525413671,4.5,0.9296605075764914,0.9582383359616513,0.9534924159409648,0.9484078826534003,12.0,0.9169168772651662,0.9174257409865255,0.9713773414702601,0.9617357498087753,12.0,0.9495001916264103,0.9310958463208362,0.9687525033057353,0.9619693793601494
66,1.2800000000000002,0.9446336828866909,0.9648520603968644,0.9626335921402084,0.9616641425449363,1.2800000000000002,0.957684012750186,0.960056381613213,0.9629745953047639,0.961775663710317,4.800000000000001,0.9259418203183972,0.9580313331794847,0.9525802139633922,0.9469232361825974,12.800000000000004,0.9131664284624208,0.9153273149588336,0.9721320642165473,0.961735749808787,12.800000000000004,0.9467525148472604,0.9310200897852247,0.969367312279863,0.9619831979838861
67,1.3600000000000003,0.9433026872183177,0.9647660998480471,0.9626823053529412,0.9616593581069263,1.3600000000000003,0.9570705731367158,0.9596569222012438,0.9630446180542828,0.9617780630692355,5.099999999999998,0.9220380171329576,0.9578014390368808,0.9516244262841914,0.9453658012688712,13.600000000000001,0.9092667990095016,0.9132516292473107,0.9729546129246781,0.9617357498087747,13.600000000000001,0.9438229807850149,0.931813006199741,0.970056818989994,0.9619967969379387
68,1.4400000000000004,0.9419317793739664,0.9646440620031714,0.9627301569872203,0.9616545353872767,1.4400000000000004,0.956415244396164,0.9592223087518579,0.9631137738338765,0.9617804505404858,5.399999999999999,0.917951807732948,0.9575487522494198,0.9506253833130504,0.9437359581020003,14.400000000000006,0.9052296426185973,0.9114532667249202,0.9735912756810471,0.9617357498087746,14.400000000000006,0.9407243413081017,0.9301407363464453,0.9709358580626524,0.9620762471030048
69,1.5200000000000005,0.9405212449293076,0.9645197605161039,0.962777148188206,0.961649673974409,1.5200000000000005,0.9557181485367414,0.9587654942934705,0.9631820630130343,0.961782825987488,5.699999999999999,0.9136860072984209,0.957273047530586,0.9495834200600212,0.9420341031213927,15.200000000000003,0.9010664933167198,0.9121183779712932,0.9744076930772078,0.9617357498087695,15.200000000000003,0.9374693857658336,0.9316496716058278,0.9712723340796705,0.9621862693842569
70,1.6000000000000005,0.93907143253701,0.9643896796126389,0.9628232800365568,0.961644773602145,1.6000000000000005,0.9549794168486756,0.9583955118127396,0.9632494857615016,0.9617851892532829,6.0,0.9092435330184521,0.9569742391703926,0.9484988758993101,0.9402606490083153,16.0,0.8968548958544131,0.9131461375613835,0.9750284499464031,0.9620405478067633,16.0,0.9340708302650819,0.8911972573103814,0.9716493228626788,0.9622072875894964
71,1.6799999999999997,0.9375825347898683,0.9643302318469614,0.962868553464821,0.9616398338647102,1.6799999999999997,0.9541991874269791,0.9581453886232005,0.9633160422560365,0.961787540247855,6.300000000000001,0.904627402418306,0.9566522389221133,0.9473720946352603,0.9384160244170049,16.800000000000004,0.8925866847271281,0.914994453831494,0.9755380978082426,0.9623578621800151,16.800000000000004,0.9305412172773657,0.8885589959829023,0.9720620091746862,0.9621520174752323
