Analysis of Tolerances

Units are Millimeters.
All changes are computed using linear differences.

Paraxial Focus compensation only.

WARNING: Solves should be removed prior to tolerancing. Semi-diameters should be fixed.

WARNING: Boundary constraints on compensators will be ignored.

Criterion           : User defined merit function
Mode                : Sensitivities
Nominal Criterion   : 0.05442161
Test Wavelength     : 1000.0000

Fields: User Defined Angle in degrees
 #   	X-Field     	Y-Field     	Weight  	  VDX 	  VDY 	  VCX 	  VCY
 1 	   0.000E+00 	   0.000E+00 	   1.000E+02 	 0.000 	 0.000 	 0.000 	 0.000
 2 	   0.000E+00 	   4.700E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
 3 	   2.350E+00 	   4.070E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
 4 	   4.070E+00 	   2.350E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
 5 	   4.700E+00 	   0.000E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
 6 	   4.070E+00 	  -2.350E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
 7 	   2.350E+00 	  -4.070E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
 8 	   0.000E+00 	  -4.700E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
 9 	  -4.700E+00 	   0.000E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
10 	  -2.350E+00 	  -4.070E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
11 	  -4.070E+00 	  -2.350E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
12 	  -4.070E+00 	   2.350E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000
13 	  -2.350E+00 	   4.070E+00 	   1.000E+00 	 0.000 	 0.000 	 0.000 	 0.000

Sensitivity Analysis:

            			   |-----------	---- Minimum ----	----------|	  |------------	---- Maximum ----	----------|
Type           			      Value   	    Criterion      	 Change       	  Value   	    Criterion    	  Change
TTHI 	 12 	 12 	   -6.00000000 	    0.06052399 	    0.00610238 	    6.00000000 	    0.06217382 	    0.00775221
TTHI 	 19 	 19 	   -6.00000000 	    0.05563770 	    0.00121609 	    6.00000000 	    0.05330590 	   -0.00111571
TEDX 	  9 	  9 	   -2.00000000 	    0.06217472 	    0.00775311 	    2.00000000 	    0.06217472 	    0.00775311
TEDY 	  9 	  9 	   -2.00000000 	    0.07156348 	    0.01714186 	    2.00000000 	    0.04306410 	   -0.01135751
TEDX 	 16 	 16 	   -2.00000000 	    0.06048799 	    0.00606637 	    2.00000000 	    0.06048799 	    0.00606637
TEDY 	 16 	 16 	   -2.00000000 	    0.04663787 	   -0.00778375 	    2.00000000 	    0.06896465 	    0.01454303
TETX 	 16 	 16 	   -0.03000000 	    0.04372737 	   -0.01069425 	    0.03000000 	    0.06875876 	    0.01433714
TETY 	 16 	 16 	   -0.03000000 	    0.06060927 	    0.00618765 	    0.03000000 	    0.06060927 	    0.00618765
TEDX 	 23 	 23 	   -2.00000000 	    0.05553987 	    0.00111825 	    2.00000000 	    0.05553987 	    0.00111825
TEDY 	 23 	 23 	   -2.00000000 	    0.05460416 	    0.00018254 	    2.00000000 	    0.05450947 	    8.7858E-05
TETX 	 23 	 23 	   -0.03000000 	    0.04278546 	   -0.01163616 	    0.03000000 	    0.06904352 	    0.01462191
TETY 	 23 	 23 	    0.03000000 	    0.06004526 	    0.00562364 	    0.03000000 	    0.06004526 	    0.00562364

Worst offenders:
Type           			       Value   	    Criterion      	  Change
TEDY 	  9 	  9 	   -2.00000000 	    0.07156348 	    0.01714186
TETX 	 23 	 23 	    0.03000000 	    0.06904352 	    0.01462191
TEDY 	 16 	 16 	    2.00000000 	    0.06896465 	    0.01454303
TETX 	 16 	 16 	    0.03000000 	    0.06875876 	    0.01433714
TEDX 	  9 	  9 	    2.00000000 	    0.06217472 	    0.00775311
TEDX 	  9 	  9 	   -2.00000000 	    0.06217472 	    0.00775311
TTHI 	 12 	 12 	    6.00000000 	    0.06217382 	    0.00775221
TETY 	 16 	 16 	    0.03000000 	    0.06060927 	    0.00618765
TETY 	 16 	 16 	   -0.03000000 	    0.06060927 	    0.00618765
TTHI 	 12 	 12 	   -6.00000000 	    0.06052399 	    0.00610238


Estimated Performance Changes based upon Root-Sum-Square method:
Nominal Merit Function      :	    0.05442161
Estimated change            :	    0.03000245
Estimated Merit Function    :	    0.08442406

Compensator Statistics:
Change in back focus:
Minimum            :	       -5.209957
Maximum            :	        5.219842
Mean               :	        0.000413
Standard Deviation :	        1.505597


Monte Carlo Analysis:
Number of trials: 10000

Initial Statistics: Normal Distribution

    Trial 	    Criterion 	      Change
    124 	    0.07507244 	    0.02065083
    125 	    0.05705834 	    0.00263673
    126 	    0.05774836 	    0.00332674
    127 	    0.06850375 	    0.01408213
    128 	    0.05016550 	   -0.00425612
    129 	    0.09757982 	    0.04315820
    130 	    0.05649035 	    0.00206874
    131 	    0.06925234 	    0.01483072
    132 	    0.05795695 	    0.00353533
    133 	    0.08065341 	    0.02623179
    134 	    0.04587365 	   -0.00854797
    135 	    0.05398678 	   -0.00043484
    136 	    0.09285479 	    0.03843317
    137 	    0.07125843 	    0.01683682
    138 	    0.07844329 	    0.02402167
    139 	    0.06150162 	    0.00708001
    140 	    0.05871262 	    0.00429100
    141 	    0.06112544 	    0.00670382
    142 	    0.06036838 	    0.00594677
    143 	    0.06035455 	    0.00593293
    144 	    0.06745163 	    0.01303002
    145 	    0.05871160 	    0.00428998
    146 	    0.09031463 	    0.03589302
    147 	    0.06935922 	    0.01493760
    148 	    0.07898145 	    0.02455984
    149 	    0.06124449 	    0.00682288
    150 	    0.06459372 	    0.01017210
    151 	    0.05705909 	    0.00263748
    152 	    0.06890061 	    0.01447900
    153 	    0.07737492 	    0.02295331
    154 	    0.07844557 	    0.02402395
    155 	    0.05602985 	    0.00160823
    156 	    0.05087145 	   -0.00355017
    157 	    0.06088223 	    0.00646061
    158 	    0.06132519 	    0.00690358
    159 	    0.06595839 	    0.01153678
    160 	    0.07954957 	    0.02512796
    161 	    0.06231801 	    0.00789640
    162 	    0.06492541 	    0.01050380
    163 	    0.06345365 	    0.00903204
    164 	    0.05824918 	    0.00382756
    165 	    0.05450458 	    8.2964E-05
    166 	    0.08058912 	    0.02616751
    167 	    0.06055344 	    0.00613183
    168 	    0.05865720 	    0.00423558
    169 	    0.06345242 	    0.00903081
    170 	    0.05326185 	   -0.00115976
    171 	    0.06618567 	    0.01176406
    172 	    0.05812680 	    0.00370519
    173 	    0.07140443 	    0.01698282
    174 	    0.05312611 	   -0.00129550
    175 	    0.05740689 	    0.00298528
    176 	    0.07501406 	    0.02059245
    177 	    0.07394438 	    0.01952276
    178 	    0.07991002 	    0.02548841
    179 	    0.08229264 	    0.02787102
    180 	    0.06014031 	    0.00571869
    181 	    0.06106576 	    0.00664415
    182 	    0.06357666 	    0.00915504
    183 	    0.06546767 	    0.01104606
    184 	    0.05720901 	    0.00278739
    185 	    0.05470298 	    0.00028137
    186 	    0.05671611 	    0.00229450
    187 	    0.09420342 	    0.03978181
    188 	    0.06723293 	    0.01281131
    189 	    0.06703611 	    0.01261450
    190 	    0.07214333 	    0.01772172
    191 	    0.06257886 	    0.00815725
    192 	    0.06336286 	    0.00894124
    193 	    0.06779725 	    0.01337564
    194 	    0.04255422 	   -0.01186739
    195 	    0.07498075 	    0.02055914
    196 	    0.07899528 	    0.02457367
    197 	    0.05636455 	    0.00194294
    198 	    0.04516857 	   -0.00925305
    199 	    0.05983926 	    0.00541764
    200 	    0.07187810 	    0.01745648
    201 	    0.04440657 	   -0.01001505
    202 	    0.06526718 	    0.01084557
    203 	    0.09340382 	    0.03898220
    204 	    0.07865662 	    0.02423500
    205 	    0.05866275 	    0.00424114
    206 	    0.06658236 	    0.01216074
    207 	    0.07115789 	    0.01673628
    208 	    0.05957503 	    0.00515342
    209 	    0.07101374 	    0.01659212
    210 	    0.04816904 	   -0.00625257
    211 	    0.06279141 	    0.00836980
    212 	    0.06679754 	    0.01237593
    213 	    0.04247793 	   -0.01194369
    214 	    0.07816071 	    0.02373909
    215 	    0.06592271 	    0.01150110
    216 	    0.07454010 	    0.02011848
    217 	    0.07939202 	    0.02497041
    218 	    0.10056495 	    0.04614334
    219 	    0.07308502 	    0.01866340
    220 	    0.06762221 	    0.01320060
    221 	    0.06648294 	    0.01206132
    222 	    0.06083014 	    0.00640852
    223 	    0.08704575 	    0.03262414
    224 	    0.08666406 	    0.03224244
    225 	    0.05249516 	   -0.00192646
    226 	    0.06440080 	    0.00997918
    227 	    0.06751984 	    0.01309823
    228 	    0.05770481 	    0.00328320
    229 	    0.06801476 	    0.01359315
    230 	    0.06605114 	    0.01162952
    231 	    0.06705626 	    0.01263465
    232 	    0.10595731 	    0.05153570
    233 	    0.06236165 	    0.00794003
    234 	    0.06224158 	    0.00781997
    235 	    0.06807180 	    0.01365019
    236 	    0.06242146 	    0.00799984
    237 	    0.07206116 	    0.01763955
    238 	    0.06175028 	    0.00732867
    239 	    0.06704613 	    0.01262452
    240 	    0.06268219 	    0.00826057
    241 	    0.05680293 	    0.00238132
    242 	    0.06392553 	    0.00950392
    243 	    0.06662272 	    0.01220111
    244 	    0.06799999 	    0.01357838
    245 	    0.07164394 	    0.01722233
    246 	    0.06277891 	    0.00835730
    247 	    0.05491466 	    0.00049305
