,cam,f_num,f_num_min,f_num_max
0,1.0,1.667843599460727,1.6383241837030484,1.766280759272975
1,2.0,1.6527946637084125,1.6201936531504897,1.7591990234843018
2,3.0,1.6742156525087812,1.6427323589664706,1.7771830673857167
3,4.0,1.6786580070701884,1.648880765829275,1.7803794325471354
4,5.0,1.6651910520978246,1.6346804902313443,1.7711411862487665
5,6.0,1.6462693062961125,1.6127873907338093,1.7502872981019943
6,7.0,1.6407179202347697,1.6106852408762053,1.745366569258983
7,8.0,1.6367086193328173,1.6014334500116814,1.7525597435688383
8,9.0,1.6424836232845128,1.607479451577085,1.7560230033730497
9,10.0,1.7263493227291518,1.6937492773388625,1.8347453169043002
10,11.0,1.757871007746813,1.7259612650042753,1.8608381070082047
11,12.0,1.7377026884702083,1.6988957651056424,1.851132624650045
12,13.0,1.724138702033926,1.6898503476274405,1.8418891928826442
13,14.0,1.7224523414183894,1.686444558097199,1.8377469456838091
14,15.0,1.719508984660491,1.6821393654579053,1.8298919956157358
15,16.0,1.7179355638258458,1.6860174402244374,1.8286176302662382
16,17.0,1.6766304725584833,1.6443973461944403,1.7862159693595276
17,18.0,1.6772300175740726,1.6463576380090374,1.7879387517293543
18,19.0,1.6993858867487954,1.6661754142266112,1.8148696093979269
19,20.0,1.6778030815822986,1.6379026977936777,1.8052531463311188
20,21.0,1.6932397646426638,1.6559860936586561,1.8208638092906722
21,22.0,1.709151079085246,1.6646631226316695,1.8293493249785637
22,23.0,1.7000733788252496,1.6608655727310362,1.8036418379739345
23,24.0,1.7281694682716482,1.693911245097861,1.828681264771566
24,25.0,1.733241050305307,1.702240882681407,1.8338631729665116
25,26.0,1.7107657464175903,1.6796789905533083,1.8190003312459502
26,27.0,1.7117483893821492,1.6716927574094447,1.8295935686833993
27,28.0,1.7091225180737966,1.6724419832621689,1.836736545547437
28,29.0,1.7009592548488892,1.6641981876733962,1.8209690489027774
29,30.0,1.7105889287699274,1.678329775046821,1.8357408342844015
30,31.0,1.7135004087452013,1.6857203183768465,1.8427753947217558
31,32.0,1.7012846107326873,1.6729831259555865,1.8074351665200423
32,33.0,1.6793860605158033,1.6458632811082894,1.7802451853204644
33,34.0,1.6846906138930067,1.6484030398718985,1.7866174859868964
34,35.0,1.647558575687662,1.6079792586247994,1.7528631525170641
35,36.0,1.6116628000640836,1.5784927847175179,1.7224764200068128
36,37.0,1.6793995150513397,1.6456991913104453,1.8053629845550936
37,38.0,1.6298847493526891,1.5930924751029991,1.7452399335960538
38,39.0,1.6322978251549498,1.592722054105953,1.7562569341613095
39,40.0,1.632165255700926,1.591069673054103,1.759495495248896
40,41.0,1.6398432618067325,1.6044152771000313,1.7569056628220878
41,42.0,1.6366568346725028,1.6043928594758694,1.745312458277553
42,43.0,1.6937183810338754,1.6549929344453032,1.7906316490176135
43,44.0,1.7160317944850694,1.6896489899041323,1.8124170177839363
44,45.0,1.6913632647660304,1.659637923112854,1.7858530605675615
45,46.0,1.6752526114000876,1.6417885598121944,1.7884027503323052
46,47.0,1.6864783742861025,1.645545173287618,1.8096409653249235
47,48.0,1.6884168664163897,1.651430851946775,1.823322040784642
48,49.0,1.7165254959834553,1.6839785589663743,1.842580853682326
49,50.0,1.6960875402578195,1.6665007838137633,1.8077155609474194
50,51.0,1.7107127570281246,1.6835769633133264,1.8237040666876911
51,52.0,1.6974687877577865,1.6712499472116176,1.8199206004495536
52,53.0,1.6935446269148355,1.6608099377624326,1.8267805050593244
53,54.0,1.696729547731237,1.674939072094071,1.8020201196061882
54,55.0,1.6976442117283346,1.678644411777587,1.8032384292016888
55,56.0,1.7049189670840397,1.6617269928590352,1.8263856642597238
56,57.0,1.7126133807628745,1.6750041636896935,1.830413863401296
57,58.0,1.7101850660833466,1.6729524514361929,1.8277566516205925
58,59.0,1.652751392587165,1.6161491627024043,1.7717272648006415
59,60.0,1.6304876438685783,1.597413230846038,1.7567210797580448
60,61.0,1.6595512549633307,1.6163195233882879,1.7914628448603132
61,62.0,1.6434982469363704,1.6027102147520238,1.7661894579143882
62,63.0,1.6215016991058002,1.5844806908881697,1.750915944867618
63,64.0,1.637065387956097,1.5982627491511858,1.7595100169234406
64,65.0,1.6359531107253367,1.601765027747183,1.7563930231535338
65,66.0,1.6297134320978952,1.5784284027569278,1.7215748761356002
66,67.0,1.657639883456114,1.6150809189387239,1.7485121732736615
67,68.0,1.6484031154559475,1.6076880926405615,1.7347583999061549
68,69.0,1.635613470801749,1.595519969264318,1.7264437740624157
69,70.0,1.6472027444611834,1.614786231876906,1.765431400278989
70,71.0,1.701142982983304,1.668199044682872,1.8292439124250888
71,72.0,1.6981018859491754,1.6670452713631205,1.8293888405065777
72,73.0,1.681941698610625,1.655082656264999,1.7972283779914262
73,74.0,1.6848893131212543,1.6596343052358942,1.7855889479409217
74,75.0,1.6991727191300843,1.6718175107329976,1.8189721647940984
75,76.0,1.7046074062648071,1.6751247265301994,1.8386399906303499
76,77.0,1.7149081908213433,1.6804642552351852,1.8571704648764764
77,78.0,1.6823207455582563,1.6604192177773165,1.7900961559044597
78,79.0,1.7020479734658212,1.6672657308360217,1.8276403256709512
79,80.0,1.7085540715699514,1.6751591560660488,1.8331818040250025
80,81.0,1.7085538577497246,1.6710924553363011,1.8428871457434821
81,82.0,1.654848780930512,1.6293427744019993,1.8025140171981173
82,83.0,1.6315843059020145,1.5925827808156263,1.7660713634500034
83,84.0,1.646687932915996,1.6076750966065665,1.7712967741588626
84,85.0,1.5758665345435232,1.5397067001353395,1.7057977008729244
