,r=-2500 mm,r=-2000 mm,r=-1500 mm,r=-1000 mm,r=-500 mm,r=0 mm,r=500 mm,r=1000 mm,r=1500 mm,r=2000 mm,r=2500 mm
"(r, 0)",-391.36367517562,-253.1677538546975,-143.58592480552386,-64.1902723777746,-16.103713964074913,0.0,-16.103713964074913,-64.1902723777746,-143.58592480552386,-253.1677538546975,-391.36367517562
"(0, r)",-241.833799730144,-147.89369626178976,-78.3650204929566,-31.555607211122766,-5.908109752093224,0.0,-12.543568387302026,-42.385923894785165,-88.50899405156221,-150.02952493507294,-226.199081171084
