,r=-2500 mm,r=-2000 mm,r=-1500 mm,r=-1000 mm,r=-500 mm,r=0 mm,r=500 mm,r=1000 mm,r=1500 mm,r=2000 mm,r=2500 mm
"(r, 0)",-332.780783183243,-212.49105815304677,-119.3124388617387,-52.959883510185435,-13.229790813291592,0.0,-13.229790813291592,-52.959883510185435,-119.3124388617387,-212.49105815304677,-332.780783183243
"(0, r)",-282.15892005089586,-173.2484791628446,-92.20950648166703,-37.262209419408215,-6.927346354307758,0.0,-15.523350774713785,-52.762450170472384,-111.17799412229337,-190.4000963773887,-290.20206186436417
