mcerow,initial_value,comment
14,1.48E-03,R1
15,-14.5058,c1
47,196.8094,l1l2
25,-2.60E-03,r2
26,-9.2209,c2
27,-350,R
28,-11,C
29,0,rot
49,47.5436,l2ly
51,116.3551,lyl3
36,3.17E-03,r3
37,-5.5797,c3
53,103.0898,l3img
