,cam,f_num,f_num_min,f_num_max
0,1.0,1.8561664048390967,1.8205568700165329,1.964361244700173
1,2.0,1.856021972822496,1.821768987664366,1.9645262686508043
2,3.0,1.857028238557377,1.8180297820659463,1.9613210747445646
3,4.0,1.856057193588512,1.8161956946111641,1.959173600835159
4,5.0,1.8562409298633746,1.8200627517360535,1.9630201589648373
5,6.0,1.8605511641712045,1.8277441192736814,1.9697935646731661
6,7.0,1.8576056976331654,1.8256700283838005,1.9677594054226673
7,8.0,1.9096010433627197,1.871264062311497,2.019294781048377
8,9.0,1.910062937943869,1.8692541730281376,2.0169138380875045
9,10.0,1.854134096123057,1.81304400347791,1.956090746477193
10,11.0,1.8545075525699437,1.813842941387346,1.9567814410778384
11,12.0,1.8541083930903766,1.8130133647233848,1.9560883400304478
12,13.0,1.855672734023977,1.8156878859819678,1.9586425181973546
13,14.0,1.9108201230961883,1.8719634911956804,2.018327387488916
14,15.0,1.826012102649077,1.7898764662899407,1.934980884545439
15,16.0,1.8577709057533893,1.8267855957198462,1.9675064436502028
16,17.0,1.8611910000689225,1.830651745726044,1.968938253370347
17,18.0,1.8468585711508057,1.8147859695165727,1.9551743773670505
18,19.0,1.8538991482775715,1.8198615556520883,1.9646328908049537
19,20.0,2.0985412642004073,2.053794764930583,2.2212453076487515
20,21.0,2.09805335183539,2.047319693034796,2.216729967492706
21,22.0,2.096799212538953,2.0431855534115537,2.210122918548521
22,23.0,2.030268632994488,1.9784863868788063,2.138589987121462
23,24.0,1.8533727826132016,1.8110109743124438,1.954409601943796
24,25.0,1.8533690898494322,1.8110072963502994,1.954411140648296
25,26.0,1.9089207384311473,1.8631182340615902,2.0129226998756975
26,27.0,1.9092604639922557,1.865291904431532,2.0159905422348032
27,28.0,1.9705056750522867,1.926767066107607,2.08345084182996
28,29.0,2.0229044157016287,1.978820895507289,2.1415258575792566
29,30.0,1.9550315982445094,1.914557533947414,2.069730218078405
30,31.0,1.9631010172008518,1.9230368177741524,2.0755104584272313
31,32.0,1.854666136823434,1.8246260402191867,1.9617704830861211
32,33.0,1.8476782554660875,1.8191441922547877,1.9514141010090027
33,34.0,1.8584089404653807,1.830546712215032,1.9629923009910075
34,35.0,1.9148893286103428,1.883983540233203,2.024650943516115
35,36.0,1.9144377716242835,1.878945431692939,2.027347127988848
36,37.0,1.9653529171384572,1.9260197914423647,2.077373597628885
37,38.0,2.2143469560188387,2.1686295644279676,2.3353722824505803
38,39.0,2.155412409196188,2.1072410619409783,2.279526675929784
39,40.0,2.09589838015567,2.043810249358054,2.2199576106483123
40,41.0,2.029129773871397,1.9762009867335375,2.146739251942741
41,42.0,2.0285781300541386,1.9746386635499085,2.1441914498229426
42,43.0,1.9673359234292123,1.917393356792903,2.0721144307188957
43,44.0,1.8526243501811919,1.80891879804788,1.9528009501656534
44,45.0,1.852292505671097,1.8083242886644444,1.9530363411807528
45,46.0,1.9073090198153118,1.859350791980745,2.0184528458067397
46,47.0,2.095061639794191,2.0391191959586776,2.21517138105253
47,48.0,2.0961049279222306,2.0434632856752013,2.2195829876079376
48,49.0,2.0808543583324233,2.034159286208004,2.200683771011794
49,50.0,2.2124800654077323,2.1655210091271115,2.3355894265778
50,51.0,2.0770564765933655,2.030233917607604,2.204112121195874
51,52.0,2.089521115244945,2.0447165364733926,2.2094077626041826
52,53.0,2.0955190045650207,2.0535026975234625,2.2134372041524024
53,54.0,2.0897640575661915,2.0554805368740645,2.195783490741548
54,55.0,2.079334407098201,2.0483029291182766,2.182139816118797
55,56.0,1.9465019225423388,1.917375181053054,2.042668455475448
56,57.0,1.9500442671569544,1.920836762023342,2.047832140455608
57,58.0,2.089476346182702,2.05561159207942,2.1957486031967988
58,59.0,1.9729849908001076,1.9374281991762408,2.088774105498698
59,60.0,2.0939738177224134,2.050054413164934,2.212801814265298
60,61.0,2.089383031991135,2.0433552261509886,2.211962944293865
61,62.0,2.280338531979558,2.2367447044877826,2.3973655752123397
62,63.0,2.2783283287874774,2.242256789307915,2.409154198534107
63,64.0,2.3113739572267415,2.2516012227866957,2.4414147862512015
64,65.0,2.1617370045696127,2.10334358498438,2.2895756392019266
65,66.0,2.0933702486701904,2.0403178892497698,2.213367587619619
66,67.0,2.0946838620241532,2.0372980832510996,2.2050239265244187
67,68.0,2.0288066181068576,1.9743864208748734,2.1365341502118516
68,69.0,2.093666798027484,2.0360999960514796,2.211188737725658
69,70.0,2.1618927737183853,2.1035021452091707,2.2897037124994912
70,71.0,2.1587623537846796,2.1055308936421917,2.2825495176513213
71,72.0,2.308263266294011,2.258849482048006,2.4361308681285943
72,73.0,2.2814651519224864,2.2382997977066545,2.3987143416222425
73,74.0,2.2742213966020346,2.22695466818177,2.3903348444687516
74,75.0,2.3165938964289494,2.265341696937065,2.4501575311802113
75,76.0,2.311275946736339,2.2588181191032835,2.445404487848556
76,77.0,2.3049640561176097,2.2609455398064036,2.4254593376492517
77,78.0,2.1961854508539003,2.1671784079074894,2.288099799102241
78,79.0,2.05491808124702,2.0280921895024284,2.140411703416964
79,80.0,2.052332457034231,2.0257186775648495,2.137991289424492
80,81.0,2.2680425499115384,2.238693857215165,2.3622718690167486
81,82.0,2.3034130195353626,2.258781296312567,2.423334707491768
82,83.0,2.313617299639529,2.2625992529070635,2.446923460154384
83,84.0,2.2287551421624903,2.179009188428078,2.357263140213761
84,85.0,2.274564645914094,2.228309827744009,2.3899979199983723
