mcerow,initial_value,comment
14,1.44E-03,R1
15,-25.110471,c1
47,205.627951,l1l2
25,-2.54E-03,r2
26,-8.540411,c2
49,59.711661,l2ly
51,113.290652,lyl3
36,3.07E-03,r3
37,-5.335641,c3
53,104.501271,l3img
