,cam,f_num,f_num_min,f_num_max
0,1.0,2.1708680644556186,2.069107869649788,2.2490501046142928
1,2.0,2.173011038331932,2.0711234911830267,2.2512853550587053
2,3.0,2.1532541606394293,2.052541616431711,2.2306770867456827
3,4.0,2.1540926938424203,2.053330238347193,2.231551785352213
4,5.0,2.1730140297239084,2.071126304905373,2.251288474233433
5,6.0,2.192518710971586,2.0894729305609707,2.2716322495965393
6,7.0,2.193356096252151,2.0902606403611816,2.2725056279265914
7,8.0,2.184039139279695,2.081496582836015,2.262788058510193
8,9.0,2.162981041674892,2.0616897583790337,2.2408233173818677
9,10.0,2.149672260524214,2.0491729596896713,2.226940671651361
10,11.0,2.145203626119338,2.044970453192143,2.222279198996114
11,12.0,2.150154824242786,2.0496267907377335,2.2274440554316732
12,13.0,2.1629790310470587,2.0616878673485703,2.240821219892813
13,14.0,2.1909732640216166,2.0880191720433894,2.270020369008824
14,15.0,2.198215118242691,2.0948314834771185,2.2775734560926035
15,16.0,2.2469387575219653,2.1406717624657254,2.3283863003752074
16,17.0,2.2422194159824436,2.1362312059867796,2.3234649588039504
17,18.0,2.2463885276360496,2.14015403092377,2.3278125225409516
18,19.0,2.195545175487011,2.0923198752836187,2.274788787829959
19,20.0,2.2059873590355936,2.102143009513039,2.2856795179501335
20,21.0,2.182669513470016,2.0802082719396577,2.261359514535179
21,22.0,2.1647381127719045,2.0633423376575633,2.242656100485952
22,23.0,2.1525978983656704,2.051924418898794,2.229992517852366
23,24.0,2.143500937539958,2.0433691948481982,2.2205030149050393
24,25.0,2.144652389009416,2.044452051999666,2.221704169830331
25,26.0,2.1525513154678197,2.0518806090507526,2.2299439251754323
26,27.0,2.1644909703242976,2.0631098914818637,2.24239830972148
27,28.0,2.1849978294362122,2.0823983609256254,2.2637879850927987
28,29.0,2.2070179580677776,2.1031125404184676,2.28675436430383
29,30.0,2.2185258667259675,2.1139388971578916,2.2987561021821032
30,31.0,2.254832670346927,2.1480995913565026,2.336617934091206
31,32.0,2.3048452628770217,2.1951658636121167,2.388765486874785
32,33.0,2.2991383232312597,2.189794564207653,2.3828153255997178
33,34.0,2.2990811058321112,2.1897407126316293,2.382755669230336
34,35.0,2.3049990356918064,2.195310594616458,2.3889258115956693
35,36.0,2.2548328063130656,2.1480997192965585,2.336618075871822
36,37.0,2.2185187766268033,2.113932226801956,2.2987487079934388
37,38.0,2.1687080178083606,2.0653987963550535,2.248761676415531
38,39.0,2.1375165277283235,2.036149124514451,2.2161577828189363
39,40.0,2.190880572343845,2.087931979948453,2.2699236925165374
40,41.0,2.172237613716376,2.0703960267633774,2.2504786291923153
41,42.0,2.1600035797933588,2.0588894002537246,2.237717528031027
42,43.0,2.1443226820416683,2.0441419857053953,2.2213602304186604
43,44.0,2.1380057387955422,2.0382014542995552,2.214770537418951
44,45.0,2.1445371823490387,2.044343708192866,2.22158398970413
45,46.0,2.1600623858931427,2.058944708029369,2.2377788689651625
46,47.0,2.1722553114504617,2.070412672774254,2.250497089004667
47,48.0,2.1910686578817815,2.0881089060930007,2.2701198638769213
48,49.0,2.137670433334585,2.036293435135665,2.2163186681879044
49,50.0,2.1685835538702887,2.0652820699465395,2.248631585347127
50,51.0,2.178002569980018,2.074115780495251,2.2584762840991073
51,52.0,2.200117028532475,2.094857953052284,2.281588711264283
52,53.0,2.3187013822703335,2.2082076580682197,2.403211716376323
53,54.0,2.3727727542960655,2.2591090376988507,2.4595804830449532
54,55.0,2.366412159863405,2.2531207116049985,2.4529500762551444
55,56.0,2.3662463186534453,2.2529645788825485,2.452777198628172
56,57.0,2.3670400195985444,2.2537118169832144,2.4536045746693893
57,58.0,2.3727727662901255,2.259109048991089,2.4595804955476916
58,59.0,2.320459339906732,2.2098623597533558,2.4050445011760484
59,60.0,2.2006316132566335,2.095340637546948,2.2821264940589954
60,61.0,2.1783701770314288,2.074460554113384,2.258860497069066
61,62.0,2.1747503943034783,2.071065641930839,2.255077171972212
62,63.0,2.146672571158305,2.044734585082175,2.2257288732543814
63,64.0,2.122758013490825,2.022311350328038,2.2007294616142743
64,65.0,2.104688172508748,2.005370579922221,2.181838163487751
65,66.0,2.150079594880301,2.0495560405866216,2.227365580265924
66,67.0,2.1386080512640926,2.0387678672004,2.215398863930769
67,68.0,2.138760027443996,2.038910785566467,2.2155574036557204
68,69.0,2.15002386693881,2.049503630846009,2.2273074467258445
69,70.0,2.1048563293728235,2.005528220819005,2.182013972067918
70,71.0,2.1217131603356005,2.0213317308421916,2.199637150699491
71,72.0,2.1468269438017824,2.044879341655346,2.2258902403900844
72,73.0,2.1757758928915196,2.072027426437171,2.2561490082647113
73,74.0,2.216568658586952,2.110290415274448,2.298781452559316
74,75.0,2.237451411763034,2.1298815636436212,2.3206033679042855
75,76.0,2.282013724430204,2.171695194601057,2.367164167964225
76,77.0,2.325411101345715,2.2124251966658024,2.4125007952079174
77,78.0,2.453460796681643,2.3350884726184864,2.5436817856266005
78,79.0,2.4417277109107194,2.324038529224229,2.5314534248963314
79,80.0,2.4417281535978774,2.3240389461268833,2.5314538862766773
80,81.0,2.453465374951274,2.3350927843955938,2.5436865570536327
81,82.0,2.32540982562524,2.212423999222932,2.4124994625772103
82,83.0,2.282819705853441,2.172451553540335,2.3680062268644
83,84.0,2.237574188984641,2.1299967538450764,2.320731661496734
84,85.0,2.213546403537832,2.1074552782857325,2.295623134351298
