,x_cam_center,y_cam_center,x_window_center,y_window_center,camnum
0,0.0,0.0,0.008064655612508,3.69989877309,1
1,219.0,0.0,221.370150439462,3.676229093469,2
2,109.5,189.6595634,110.645735430172,195.349128396438,3
3,-109.5,189.6595634,-110.648801467298,195.350076833713,4
4,-219.0,0.0,-221.350919448955,3.659845059791,5
5,-109.5,-189.6595634,-110.723365260186,-188.132797638816,6
6,109.5,-189.6595634,110.725169627428,-188.112332087333,7
7,438.0,0.0,442.756587328922,3.504297775869,8
8,328.5,189.6595634,331.921392014341,195.26922540815698,9
9,219.0,379.3191269,221.197825649539,386.844750761309,10
10,0.0,379.3191269,-0.0001057328789601,386.887974036326,11
11,-219.0,379.3191269,-221.210572781349,386.857641077941,12
12,-328.5,189.6595634,-331.915802756297,195.266850879681,13
13,-438.0,0.0,-442.76216669602,3.506905126272,14
14,-328.5,-189.6595634,-332.232810756557,-188.227591439799,15
15,-219.0,-379.3191269,-221.570593179905,-380.1885722929025,16
16,0.0,-379.3191269,-0.001636550894529,-380.13866330265773,17
17,219.0,-379.3191269,221.552488268128,-380.1649065965236,18
18,328.5,-189.6595634,332.180185298024,-188.235453543788,19
19,657.0,0.0,664.145046095755,3.255058407102,20
20,547.5,189.6595634,553.183032207423,195.069509628789,21
21,438.0,379.3191269,442.372181344279,386.686079474903,22
22,328.5,568.9786903,331.62222520233,578.203596142647,23
23,109.5,568.9786903,110.54087360602,578.2661563279501,24
24,-109.5,568.9786903,-110.55062587712,578.304181882979,25
25,-328.5,568.9786903,-331.640314185824,578.146135824678,26
26,-438.0,379.3191269,-442.375886159696,386.694959654587,27
27,-547.5,189.6595634,-553.189716105077,195.064488531605,28
28,-657.0,0.0,-664.094005875393,3.265642931591,29
29,-547.5,-189.6595634,-553.704184764627,-188.446017508511,30
30,-438.0,-379.3191269,-443.15335540749,-380.391164729544,31
31,-328.5,-568.9786903,-332.494230517146,-572.561243107644,32
32,-109.5,-568.9786903,-110.834166857028,-572.410473775643,33
33,109.5,-568.9786903,110.832461814635,-572.410909276255,34
34,328.5,-568.9786903,332.511607267932,-572.5878954233431,35
35,438.0,-379.3191269,443.145569966185,-380.39131781839,36
36,547.5,-189.6595634,553.707292499834,-188.447491480264,37
37,876.0,0.0,885.476151988979,2.855455773781,38
38,766.5,189.6595634,774.465757193068,194.71866614380698,39
39,657.0,379.3191269,663.563085176672,386.437663948571,40
40,547.5,568.9786903,552.746587739036,577.9798733672781,41
41,438.0,758.6382537,441.993459480817,769.3452844008899,42
42,219.0,758.6382537,221.004310349341,769.45009389882,43
43,0.0,758.6382537,0.008714246267724,769.5000690605999,44
44,-219.0,758.6382537,-221.008903313337,769.45788598482,45
45,-438.0,758.6382537,-442.022098931249,769.32867585333,46
46,-547.5,568.9786903,-552.764009902789,577.9584173967661,47
47,-657.0,379.3191269,-663.556323089883,386.43543240827404,48
48,-766.5,189.6595634,-774.453717206845,194.74452613968398,49
49,-876.0,0.0,-885.449212605535,2.849048607049,50
50,-766.5,-189.6595634,-775.131307671853,-188.8271063163063,51
51,-657.0,-379.3191269,-664.741705284985,-380.696693289594,52
52,-547.5,-568.9786903,-554.184922003527,-572.8034669579371,53
53,-438.0,-758.6382537,-443.60253056154,-765.201142513938,54
54,-219.0,-758.6382537,-221.802051488164,-765.0088462270529,55
55,0.0,-758.6382537,-0.003110440075298,-764.924221657461,56
56,219.0,-758.6382537,221.808108013938,-764.996518891491,57
57,438.0,-758.6382537,443.602526923676,-765.2076120015139,58
58,547.5,-568.9786903,554.214404410264,-572.811747654944,59
59,657.0,-379.3191269,664.693951471898,-380.70864780251304,60
60,766.5,-189.6595634,775.131387120254,-188.8307969333647,61
61,985.5,189.6595634,995.6952275829,194.333750540181,62
62,876.0,379.3191269,884.740482385965,386.055072228146,63
63,766.5,568.9786903,773.853099092814,577.646404829684,64
64,657.0,758.6382537,663.138389646976,769.0053627045199,65
65,328.5,948.2978171,331.401213233896,960.48115696154,66
66,109.5,948.2978171,110.4620013372482,960.57551090892,67
67,-109.5,948.2978171,-110.4695171459957,960.57369262877,68
68,-328.5,948.2978171,-331.410503449778,960.51412920826,69
69,-657.0,758.6382537,-663.039536915028,769.07856669838,70
70,-766.5,568.9786903,-773.8994799221271,577.652932608811,71
71,-876.0,379.3191269,-884.711949949504,386.10363428986204,72
72,-985.5,189.6595634,-995.74027452281,194.315596987592,73
73,-985.5,-189.6595634,-996.61029193822,-189.271534426963,74
74,-876.0,-379.3191269,-886.27252776821,-381.138210579249,75
75,-766.5,-568.9786903,-775.873466195367,-573.2240887593811,76
76,-657.0,-758.6382537,-665.396170361058,-765.5652107546549,77
77,-328.5,-948.2978171,-332.887153847746,-957.923776463011,78
78,-109.5,-948.2978171,-111.018449024978,-957.743033370572,79
79,109.5,-948.2978171,110.958649523514,-957.705891261784,80
80,328.5,-948.2978171,332.897990931141,-957.889028507355,81
81,657.0,-758.6382537,665.393816775697,-765.557848643128,82
82,766.5,-568.9786903,775.859633692066,-573.2111491830831,83
83,876.0,-379.3191269,886.29155961241,-381.14680750423804,84
84,985.5,-189.6595634,996.61189164293,-189.2638335419918,85
