mcerow,initial_value,comment
14,-1.28E-03,R1
15,-1,c1
21,-226.86,l1l2
23,2.21E-03,r2
24,-1,c2
30,-71.46,l2ly
32,-142,lyl3
36,-2.75E-03,r3
37,-1,c3
43,-108.99,l3img
16,0,
17,0,
18,0,
19,0,
25,0,
26,0,
27,0,
28,0,
38,0,
39,0,
40,0,
41,0,
