mcerow,initial_value,comment
14,1.52E-03,R1
15,-20.4485,c1
47,195.2929,l1l2
25,-2.58E-03,r2
26,-8.5032,c2
27,-390,R
28,-0.5,C
29,0,rot
49,49.782,l2ly
51,114.6661,lyl3
36,3.18E-03,r3
37,-5.5181,c3
53,104.0388,l3img
