,tilt x,M2 tilt x,M3 tilt x,FP tilt x,tilt y,M2 tilt y,M3 tilt y,FP tilt y,thickness,M1-M2 dist,M2-M3 dist,M3-FP dist,dec x,M2 dec x,M3 dec x,FP dec x,dec y,M2 dec y,M3 dec y,FP dec y
45,-0.020000000000000018,0.9532584648812653,0.953676490080502,0.9456458867960423,-0.020000000000000018,0.9416046607932637,0.9421405806187748,0.9437422828609667,-1.5,0.9419409695352983,0.945193512772107,0.9451479743297445,-1.5,0.9413728619663002,0.9447715508772833,0.9450586597609197,-1.5,0.9543255581830176,0.94546679151475,0.9455492130483937
46,-0.016000000000000014,0.9518445992605291,0.9521651394708396,0.9456324140739216,-0.016000000000000014,0.9424480401919689,0.9429279009604294,0.9441283677549144,-1.200000000000001,0.9454953704377137,0.9452708558273947,0.9479623192931511,-1.200000000000001,0.9423796500879484,0.9449482139811858,0.9451642643958149,-1.200000000000001,0.9527273560513121,0.9455012646851597,0.9455550332800773
47,-0.01200000000000001,0.9503694347783532,0.9505993257288204,0.9456189276457766,-0.01200000000000001,0.9432671836165206,0.9436653956208627,0.9445050296303654,-0.9000000000000004,0.948751875598757,0.9453480147247486,0.9489388596368228,-0.9000000000000004,0.9433038256070967,0.945117232204057,0.945269039627948,-0.9000000000000004,0.9510531422054113,0.9455296632890882,0.9455608607185555
48,-0.008000000000000007,0.9488331892018157,0.9489793726841739,0.9456054275153822,-0.008000000000000007,0.9440620089991745,0.944353006687394,0.9448722592756366,-0.6000000000000014,0.9479053479349177,0.9454249894330263,0.947962231312832,-0.6000000000000014,0.9441451489897708,0.9452786023146899,0.9453729851815809,-0.6000000000000014,0.9493033034415143,0.9455519847198957,0.9455666953527101
49,-0.0040000000000000036,0.9472360923718356,0.9473056126184646,0.9455919136865814,-0.0040000000000000036,0.9448324360282694,0.9449906842038148,0.9452300477062655,-0.3000000000000007,0.9468473541864876,0.945501779922531,0.9468419299660544,-0.3000000000000007,0.9449034016753071,0.9454323212592413,0.9454761007835975,-0.3000000000000007,0.9474782441437686,0.9455682264767775,0.9455725371713001
50,0.0,0.9455783861632199,0.9455783861632199,0.9455783861632199,0.0,0.9455783861632199,0.9455783861632199,0.9455783861632199,0.0,0.9455783861632199,0.9455783861632199,0.9455783861632199,0.0,0.9455783861632199,0.9455783861632199,0.9455783861632199,0.0,0.9455783861632199,0.9455783861632199,0.9455783861632199
51,0.0040000000000000036,0.9438603244490242,0.9437980421957566,0.9455648449491566,0.0040000000000000036,0.9448324360263033,0.9449906842018697,0.945230047704252,0.29999999999999893,0.944099049024254,0.9456548081250682,0.9441720826939755,0.29999999999999893,0.9449034016774229,0.9454323212615799,0.9454761007856136,0.29999999999999893,0.9436041686857419,0.9455824614873684,0.9455842423172248
52,0.008000000000000007,0.9420821730498017,0.9419649377351434,0.9455512900481622,0.008000000000000007,0.9440620089974308,0.9443530066855201,0.9448722592736954,0.5999999999999996,0.9424100609208923,0.945731045778226,0.9426235543216139,0.5999999999999996,0.9441451489912149,0.9452786023167902,0.9453729851836058,0.5999999999999996,0.9415560480922119,0.94558045026156,0.945590105622054
53,0.011999999999999983,0.9402442096880235,0.9400794378349442,0.9455377214641005,0.011999999999999983,0.9432671836152416,0.9436653956185087,0.9445050296284329,0.8999999999999986,0.9405122525636033,0.9458070990927916,0.9409333875095611,0.8999999999999986,0.9433038256089273,0.9451172322063737,0.945269039629951,0.8999999999999986,0.9394344978189758,0.9455723504031824,0.9455959760664253
54,0.015999999999999986,0.9383467239376095,0.9381419154748758,0.9455241392007936,0.015999999999999986,0.9424480401904852,0.9429279009582842,0.9441283677530404,1.1999999999999993,0.9384065667046994,0.9458829680392264,0.9391022201207999,1.1999999999999993,0.9423796500894486,0.9449482139835577,0.9451642643978009,1.1999999999999993,0.9372400082081376,0.9455581599356048,0.9456018536391166
55,0.01999999999999999,0.9363900171683494,0.9361527514506368,0.9455105432620378,0.01999999999999999,0.941604660791286,0.9421405806166407,0.9437422828591131,1.5,0.9360940575438446,0.9459586525880876,0.9371307410943089,1.5,0.9413728619677109,0.9447715508796337,0.945058659762918,1.5,0.9349730863528688,0.9455378769862268,0.9456077383287392
56,0.023999999999999994,0.9343744024861841,0.9341123342632017,0.9454969336516632,0.023999999999999994,0.9407371292340057,0.9413035004619147,0.9433467843852963,1.8000000000000007,0.9335758900478671,0.9460341527093403,0.9350196900948015,1.8000000000000007,0.9402837216582705,0.9445872463035105,0.9449522260032062,1.8000000000000007,0.9326342559383822,0.9455114997877357,0.945613630124031
57,0.027999999999999997,0.9323002046741342,0.9320210600033149,0.9454833103735113,0.027999999999999997,0.9398455310681052,0.9404167343203221,0.9429418819968336,2.099999999999998,0.9308533391944184,0.9461094683743178,0.932769857139303,2.099999999999998,0.9391125103559405,0.9443953038426076,0.9448449633992392,2.099999999999998,0.9302240570754192,0.9454790266783262,0.9456195290135129
58,0.032,0.9301677601258442,0.9298793322401618,0.9454696734314131,0.032,0.9389299535647098,0.9394803639708308,0.9425275855852077,2.3999999999999986,0.9279277891354475,0.9461845995535505,0.9303820821977391,2.3999999999999986,0.9378595299267968,0.9441957272619074,0.9447368722339684,2.3999999999999986,0.9277430461281913,0.9454404561022548,0.9456254349859153
59,0.036000000000000004,0.9279774167754938,0.9276875619015122,0.9454560228291724,0.036000000000000004,0.9379904857014829,0.9384944791448284,0.9421039052678628,2.6999999999999993,0.9248007322803639,0.9462595462179451,0.9278572547705558,2.6999999999999993,0.9365251027889226,0.9439885205037671,0.9446279527927918,2.6999999999999993,0.925191795543347,0.9453957866085417,0.9456313480296732
60,0.03999999999999998,0.9257295340315712,0.9254461671586959,0.9454423585706212,0.03999999999999998,0.9370272181549602,0.9374591775177047,0.9416708513879851,3.0,0.9214737683003674,0.9463343083382745,0.9251963134418033,3.0,0.9351095717890657,0.9437736876885446,0.9445182053634489,3.0,0.9225708936590628,0.945345016852042,0.9456372681335091
61,0.043999999999999984,0.9234244826952025,0.9231555733066467,0.9454286806595367,0.043999999999999984,0.9360402432830405,0.9363745647020429,0.9412284345140035,3.3000000000000007,0.9179486030597418,0.9464088858862028,0.9224002454083349,3.3000000000000007,0.9336133000701934,0.9435512331143773,0.9444076302362097,3.3000000000000007,0.9198809445241631,0.9452881455939993,0.9456431952858465
