mcerow,initial_value,comment
11,-1.22E-03,R1
12,0,c1
18,-235,l1l2
20,2.19E-03,r2
21,0,c2
27,-40,l2ly
29,-150,lyl3
33,-2.60E-03,r3
34,0,c3
40,-90,l3img
13,0,
14,0,
15,0,
16,0,
22,0,
23,0,
24,0,
25,0,
35,0,
36,0,
37,0,
38,0,
