,cam,f_num,f_num_min,f_num_max
0,1.0,1.8175654574828781,1.7834084999212354,1.9237686191567696
1,2.0,1.8153905739516372,1.7818746759988067,1.9221702135094938
2,3.0,1.8144859904574127,1.777900891333651,1.9185412348990927
3,4.0,1.812143894584403,1.7757424700618678,1.9157841128065491
4,5.0,1.8160819269532764,1.7835053391751798,1.923138888457217
5,6.0,1.816339140144016,1.7849994708838994,1.9247064558262716
6,7.0,1.8191385978869348,1.7874883607564744,1.926903874844893
7,8.0,1.815026733770442,1.7803716334781874,1.9219115281681642
8,9.0,1.813899546397638,1.7774735621737234,1.9182048415134085
9,10.0,1.8130321956501803,1.7737716015564764,1.9139906480751316
10,11.0,1.8124696704626748,1.7734951952518054,1.9136365160996036
11,12.0,1.8124338284896095,1.7730283858644798,1.9133491369671587
12,13.0,1.814680192357958,1.7766932264075352,1.9167270537192755
13,14.0,1.8166902186677374,1.7826625260774314,1.9244482531532583
14,15.0,1.8170332590340044,1.7840220693649096,1.9250085735126314
15,16.0,1.803405895061,1.7713075447677058,1.909470769103918
16,17.0,1.8157788032317668,1.7863875837064023,1.922478172937711
17,18.0,1.820608741170747,1.7918246817864494,1.930066691852091
18,19.0,1.817108266336377,1.7848555357638918,1.9255653563052633
19,20.0,1.814149122343502,1.778113923982561,1.927886426754127
20,21.0,1.8138627173098867,1.775336302599992,1.9204188680983478
21,22.0,1.8118735850062013,1.7721403744120432,1.9155143875948095
22,23.0,1.8116417569093204,1.7706275849505642,1.9127991923196193
23,24.0,1.8112060707598265,1.7706188886469496,1.9112292420761448
24,25.0,1.8081937121173466,1.7672015896515685,1.9080139785542445
25,26.0,1.810902260038875,1.7697353910806075,1.9120879932905563
26,27.0,1.8110776407939602,1.7709458229937376,1.914433391302105
27,28.0,1.7893453831891164,1.7502241646118741,1.9017142610304563
28,29.0,1.8136066594713605,1.7767464362950633,1.924841382953974
29,30.0,1.8164794476456316,1.7823273143591782,1.9246674570927136
30,31.0,1.8195002940533074,1.7880065042702955,1.9316636146677293
31,32.0,1.8130719891571725,1.7832192490514542,1.917616042385961
32,33.0,1.8245930564978003,1.7961959901403326,1.927770578225536
33,34.0,1.8245666353578829,1.796189200016349,1.927671607367191
34,35.0,1.8069666950498524,1.7775142645821853,1.9116444614592756
35,36.0,1.8082800369263479,1.7738322361116794,1.9166008745588545
36,37.0,1.8171755555044349,1.7832685576375664,1.9247838042490693
37,38.0,1.7789142269677591,1.743081169848829,1.8831957921227642
38,39.0,1.7973293438961595,1.7604015503052985,1.9068660344455912
39,40.0,1.8007523022040406,1.7584972527552305,1.9122585086008395
40,41.0,1.8104305555338571,1.7682786491645606,1.9203376819789544
41,42.0,1.809906403826188,1.7666225646693674,1.9177226109899985
42,43.0,1.8109932851624717,1.7687606129551472,1.9104906938981134
43,44.0,1.8113567585778907,1.7693954938961323,1.9105341048798852
44,45.0,1.8110127417868418,1.768787242274016,1.9105878663427946
45,46.0,1.8099585442309651,1.7666885701371153,1.9177282659586128
46,47.0,1.8104485623524056,1.7683059278448294,1.9203268324878138
47,48.0,1.8086882957165948,1.767428907208568,1.92054225690669
48,49.0,1.797845729803454,1.7616304203542952,1.9083151660136626
49,50.0,1.8079854439999057,1.7760576446711591,1.9169038720604092
50,51.0,1.8157472113660262,1.7802013869057731,1.9298856308452426
51,52.0,1.8182684633272523,1.7836924497625528,1.929930240072161
52,53.0,1.8218855222824653,1.7879067510112887,1.9323396198215856
53,54.0,1.8260239714426092,1.7957080077861767,1.9218546131555125
54,55.0,1.7947556163081677,1.7680518808365395,1.8866110955525082
55,56.0,1.7976434305778888,1.7718737439108918,1.8865309240049513
56,57.0,1.7935244940822896,1.767142544841195,1.884673140875256
57,58.0,1.7936874572361352,1.763942007172768,1.8901004193617006
58,59.0,1.800159462632003,1.7667155786204023,1.9086881215727545
59,60.0,1.8087860277152377,1.7727081057943765,1.9172116492131936
60,61.0,1.8115219540501013,1.7748462420649127,1.9244992137985721
61,62.0,1.7779406322766405,1.747039640053874,1.8769706482756066
62,63.0,1.7778000754364374,1.7447791087036217,1.884338379061859
63,64.0,1.793522091863513,1.7546834157513729,1.9042289530955723
64,65.0,1.8073668609543936,1.7659080053811178,1.9233161315363734
65,66.0,1.8089523206707072,1.7646677351952527,1.9169017445321266
66,67.0,1.8100970333116735,1.766352004401669,1.909938206824412
67,68.0,1.81011802749921,1.7663794315993766,1.9099401179631827
68,69.0,1.8090274220270959,1.7647581280816937,1.9169058307372988
69,70.0,1.8074903998435667,1.7660556458026455,1.9233636708431208
70,71.0,1.7953990710219074,1.7570374992988222,1.9062334176830438
71,72.0,1.8013974484436373,1.7675835307565153,1.908722185904687
72,73.0,1.778191569557991,1.7480514264020128,1.8780224048902645
73,74.0,1.7845463358348561,1.753698573246665,1.890431080534719
74,75.0,1.7891767488542416,1.753076671143425,1.9059589872814109
75,76.0,1.792890795090886,1.7580108409800208,1.905409831207992
76,77.0,1.7948871387505363,1.761969869284896,1.8937079773913004
77,78.0,1.7761353871446643,1.7497645928373666,1.8518244102352706
78,79.0,1.77570184618642,1.7508582540745226,1.8484828172025571
79,80.0,1.7744102082288356,1.749621679049782,1.847572749547491
80,81.0,1.7768350682820795,1.7506256465629129,1.8524017562456925
81,82.0,1.791674202831733,1.7590475327618773,1.8910938199345715
82,83.0,1.7898479093000512,1.7538482683118415,1.8984822513819701
83,84.0,1.7862151007677847,1.7489672919257555,1.899840974258465
84,85.0,1.7776626447143073,1.7460022240632669,1.8816498084353985
