mcerow,initial_value,comment
14,-1.23E-03,R1
15,-23,C1
17,2.20E-03,R2
18,-8.00E+00,C2
20,-2.80E-03,R3
21,-4.20E+00,C3
23,-2.11E+02,L1L2
25,-6.80E+01,L2Ly
27,-1.23E+02,LyL3
29,-1.02E+02,L3Im
