mcerow,initial_value,comment
9,-1.23E-03,
10,-2.37E+01,C1
6,2.20E-03,R2
7,-8.13E+00,C2
3,-2.87E-03,R3
4,-5.24E+00,C3
15,2.11E+02,L1L2
14,6.81E+01,L2Ly
13,1.23E+02,LyL3
12,1.03E+02,L3Im
