,cam,f_num,f_num_min,f_num_max
0,1.0,2.157958652501339,2.0569662957092407,2.235563276150011
1,2.0,2.163144480099185,2.0618436568323912,2.240993999316078
2,3.0,2.1393807751115608,2.0394963149231993,2.216281832139236
3,4.0,2.1401871974374584,2.0402547377705753,2.217134313101506
4,5.0,2.1634229201024686,2.0621056968514524,2.2413060973678847
5,6.0,2.183017249037433,2.080535748592896,2.2618539214833486
6,7.0,2.1869197130849782,2.0842065558599248,2.2659234576793237
7,8.0,2.1702827929946578,2.068557766071414,2.248535198462966
8,9.0,2.1501820977744583,2.049655481250426,2.227582558806881
9,10.0,2.1282967453436226,2.029076595403068,2.2048093349625235
10,11.0,2.117714333569188,2.0191247826266587,2.1937381429152145
11,12.0,2.1306916120709927,2.0313287200684864,2.2073168921311046
12,13.0,2.148547580896149,2.0481178318412407,2.2259050609548137
13,14.0,2.1705575007580036,2.0688161169023265,2.248815909393371
14,15.0,2.193915737691043,2.0907873289326564,2.2732266178384166
15,16.0,2.216711109154708,2.112234516860042,2.2971841303669422
16,17.0,2.211300159044436,2.107144561645751,2.291565765870269
17,18.0,2.221577929208395,2.116812868223284,2.302256758170232
18,19.0,2.191113159255021,2.0881510621744863,2.2703072447039974
19,20.0,2.192564798989691,2.0895182704454798,2.271918791028877
20,21.0,2.1616437711803713,2.060436673680496,2.239649739093959
21,22.0,2.1368842360288633,2.037154276627561,2.2138055529438385
22,23.0,2.1247005332711977,2.025698438492815,2.201271436688327
23,24.0,2.109406283411823,2.0113150495524703,2.185143405377027
24,25.0,2.109932721239247,2.011810250486825,2.185734604552502
25,26.0,2.119971757011827,2.0212524748930156,2.196211052947003
26,27.0,2.137901415779022,2.0381091955928445,2.2148389268858777
27,28.0,2.160544296699373,2.059402404988157,2.238497672492168
28,29.0,2.193702678347121,2.090589043384626,2.273148468954243
29,30.0,2.2060511534991694,2.1022029490401435,2.2858649634371804
30,31.0,2.223316399854212,2.1184486960338034,2.3041265431912956
31,32.0,2.2551534249575167,2.148412228920347,2.3375884624235708
32,33.0,2.2503625892868016,2.1439024691385624,2.3324952254357987
33,34.0,2.2469021587396116,2.1406484561134715,2.3289482129875068
34,35.0,2.252785592082887,2.1461841710923375,2.33511256964217
35,36.0,2.223885657939435,2.1189839612740093,2.304705105775797
36,37.0,2.205199804282602,2.101402070072552,2.2849937103637066
37,38.0,2.1428288919730756,2.0411329771781532,2.2221188592775056
38,39.0,2.1088634209519843,2.0092948231823153,2.186827159310254
39,40.0,2.1541996979129787,2.053441121726573,2.2319403956583748
40,41.0,2.129316485298365,2.0300427039329,2.2060321534886818
41,42.0,2.1150599519967317,2.016636394428598,2.191232486783354
42,43.0,2.106382544377923,2.008475258192379,2.182085783848115
43,44.0,2.1004132162444744,2.0028626832227863,2.1757909943051956
44,45.0,2.1051209050557613,2.0072903167114253,2.1807294329420674
45,46.0,2.112737886631803,2.0144539463160527,2.189064699894181
46,47.0,2.1322355644169178,2.0327878253209604,2.209140513695487
47,48.0,2.1528400238615055,2.0521622268976967,2.230510308437575
48,49.0,2.111461304775133,2.01172828223877,2.1894905253260486
49,50.0,2.143945882057679,2.0421811192795176,2.2233952638715166
50,51.0,2.15098496589173,2.0487782629611555,2.230482068512964
51,52.0,2.17047478859743,2.067057492133989,2.2509858478446008
52,53.0,2.269414699505233,2.161830969905127,2.3524374630155833
53,54.0,2.3044035512321175,2.1947766112786584,2.389241250032913
54,55.0,2.2900384764410076,2.1812582961435667,2.374284973732362
55,56.0,2.28699034053377,2.1783886838695623,2.3710701973593906
56,57.0,2.2897238400935342,2.180961946229262,2.3739436772084566
57,58.0,2.3041061619924483,2.1944969536505408,2.3889363249375717
58,59.0,2.268238591048923,2.1607248443609257,2.3512269008229585
59,60.0,2.172713080820433,2.0691565269965166,2.2533174384950363
60,61.0,2.1537365140941263,2.051358355823195,2.233293897996347
61,62.0,2.1341955843319815,2.033050071090341,2.2135924206664503
62,63.0,2.102539229588233,2.003376493856001,2.1800949658010156
63,64.0,2.077061636707934,1.979495976648392,2.153401928419575
64,65.0,2.053817930189308,1.9577179225907193,2.1297734062136717
65,66.0,2.1034056811485264,2.0056808906380814,2.1791571828917933
66,67.0,2.0984284313766084,2.0009992222621475,2.1738074096617788
67,68.0,2.0981866829034543,2.000772388633537,2.173621033830152
68,69.0,2.105706790207453,2.007843293772985,2.181534606548651
69,70.0,2.0637433831957974,1.9670127912113466,2.1395507880691516
70,71.0,2.070386792808792,1.9732397387363947,2.146470100574954
71,72.0,2.103950431581711,2.004702826315685,2.1816759112992035
72,73.0,2.133674349221509,2.032562072561424,2.2130850866308123
73,74.0,2.174645062007684,2.0709673825175106,2.2553651414125286
74,75.0,2.198802753326425,2.0936260781603018,2.2805495332030867
75,76.0,2.2273264967078936,2.1203941752122346,2.3107087622900897
76,77.0,2.256594678977453,2.147875583602878,2.34168127037692
77,78.0,2.351781478570314,2.2394029708368612,2.4389980477145987
78,79.0,2.346063815004988,2.234021752110096,2.4330314276073164
79,80.0,2.3535470335404254,2.241060939910689,2.4407588139381264
80,81.0,2.351808816917955,2.2394294091283946,2.4390345733637595
81,82.0,2.2568667153256348,2.1481299804413228,2.341953080763095
82,83.0,2.222000824436252,2.1153966179228987,2.3051228012041136
83,84.0,2.194797726590247,2.0898694704979635,2.2763627520846685
84,85.0,2.1774545384833175,2.073602118251576,2.2582849237007534
