mcerow,initial_value,comment
5,-2.47E-03,R3
6,-2.47E-03,C3
8,2.08E-03,R2
9,-6.63E+00,C2
14,-1.08E-03,R1
15,-2.28E+01,C1
17,1.15E+02,L3Im
18,1.40E+02,LyL3
19,7.24E+01,L2Ly
20,2.44E+02,L1L2
