,r=0 mm,r=10 mm,r=20 mm,r=30 mm,r=40 mm,r=50 mm,r=60 mm,r=70 mm,r=80 mm,r=90 mm
x,0.0,-0.11560300255090683,-0.4616130220795481,-1.0357188894432674,-1.8343529257246314,-2.8531155712354366,-4.087390879071912,-5.533265518679316,-7.189115332697013,-9.05879399776242
y,0.0,-0.11817568270830292,-0.47165328400926204,-1.057332773682138,-1.8702083606281752,-2.903618555153956,-4.149655531963116,-5.599925236493351,-7.247181731177213,-9.089054901535313
