,r=0 mm,r=10 mm,r=20 mm,r=30 mm,r=40 mm,r=50 mm,r=60 mm,r=70 mm,r=80 mm,r=90 mm,r=100 mm
z_x,0.0,0.060064541419530305,0.239179513889007,0.5342038131914839,0.940194036783463,1.4507578912009742,2.058380946037199,2.7545489041123288,3.5294015090817843,4.370517764293867,5.260222902369701
z_y,0.0,0.05236384610988314,0.20945059716322328,0.4712420276428961,0.8376924972741846,1.3086960730256718,1.8840147113309347,2.563128303355055,3.34493750747026,4.2272072372700835,5.2055804370963115
