,r=0 mm,r=10 mm,r=20 mm,r=30 mm,r=40 mm,r=50 mm,r=60 mm,r=70 mm,r=80 mm
z_x,0.0,0.1344965194502728,0.5361792191777472,1.1997496093307982,2.116742183311578,3.275853657731686,4.6625842952421515,6.256043021502309,8.017135748576539
z_y,0.0,0.1567350531941244,0.6198149758702002,1.3693472751937161,2.3764005496551346,3.607307438946844,5.026841531734436,6.598939527969231,8.283586818551148
