,r=-5000 mm,r=-4000 mm,r=-3000 mm,r=-2000 mm,r=-1000 mm,r=0 mm,r=1000 mm,r=2000 mm,r=3000 mm,r=4000 mm,r=5000 mm
"(r, 0)",-1425.09002662432,-955.1776449163757,-556.1524374615659,-253.1677538546975,-64.1902723777746,0.0,-64.1902723777746,-253.1677538546975,-556.1524374615659,-955.1776449163757,-1425.09002662432
"(0, r)",-1146.3688133858839,-689.0666066824566,-362.0123146588682,-147.89369626178976,-31.555607211122766,0.0,-42.385923894785165,-150.02952493507294,-316.404045933689,-537.1398264766902,-810.024302923364
