,r=-2500 mm,r=-2000 mm,r=-1500 mm,r=-1000 mm,r=-500 mm,r=0 mm,r=500 mm,r=1000 mm,r=1500 mm,r=2000 mm,r=2500 mm
"(r, 0)",-140.5812430345229,-90.02633051770027,-50.663582468033844,-22.524694287960273,-5.632305550648518,0.0,-5.632305550648518,-22.524694287960273,-50.663582468033844,-90.02633051770027,-140.5812430345229
"(0, r)",-115.34887701739,-72.478617668737,-39.71799082331502,-16.855553179398463,-3.6839669774258668,0.0,-5.6045255718878195,-20.302522560020478,-43.90307537349332,-76.21937396356594,-117.06871382366201
