,r=-5000 mm,r=-4000 mm,r=-3000 mm,r=-2000 mm,r=-1000 mm,r=0 mm,r=1000 mm,r=2000 mm,r=3000 mm,r=4000 mm,r=5000 mm
"(r, 0)",-1356.573293369888,-860.3886184090679,-480.5480962654991,-212.49105815304677,-52.959883510185435,0.0,-52.959883510185435,-212.49105815304677,-480.5480962654991,-860.3886184090679,-1356.573293369888
"(0, r)",-1331.4190112871254,-798.976001575565,-421.04739933077053,-173.2484791628446,-37.262209419408215,0.0,-52.762450170472384,-190.4000963773887,-410.4741600624201,-712.4172954767429,-1096.6943374954346
