mcerow,initial_value,comment
14,1.44E-03,R1
15,-31,c1
16,19,rot
17,640,R
18,-31,c1
25,-0.00254,R2
26,-7.20E+00,C2
27,-1.69,rot
28,-390,R2
29,-7,C2
36,0.003,R3
37,-5.03,C3
38,0.00E+00,rot
39,311,R3
40,-5,C3
47,191,
49,56,
51,110,
53,104,
