mcerow_variable_first_it,mcerow_variable_second_it,mcerow_variable_third_it
14,16,18
15,17,
16,18,
17,27,
18,28,
25,29,
26,38,
27,39,
28,40,
29,,
36,,
37,,
38,,
39,,
40,,
47,,
49,,
51,,
53,,
