,r=-2500 mm,r=-2000 mm,r=-1500 mm,r=-1000 mm,r=-500 mm,r=0 mm,r=500 mm,r=1000 mm,r=1500 mm,r=2000 mm,r=2500 mm
"(r, 0)",-326.973642281254,-208.90355436566185,-117.35093452691066,-52.10602969330187,-13.01901624219337,0.0,-13.01901624219337,-52.10602969330187,-117.35093452691066,-208.90355436566185,-326.973642281254
"(0, r)",-277.6592801769482,-170.82404160710502,-91.15525395078073,-37.00566746867757,-6.997408751761397,0.0,-15.108378301101112,-51.62091490925053,-109.01743452385021,-186.93723456825649,-285.1571044685178
