,r=-2500 mm,r=-2000 mm,r=-1500 mm,r=-1000 mm,r=-500 mm,r=0 mm,r=500 mm,r=1000 mm,r=1500 mm,r=2000 mm,r=2500 mm
"(r, 0)",-376.01152760176,-243.4688517471632,-138.18562401867032,-61.80770429746971,-15.510706784409859,0.0,-15.510706784409859,-61.80770429746971,-138.18562401867032,-243.4688517471632,-376.01152760176
"(0, r)",-230.884415703745,-141.36571899625443,-75.00204246111973,-30.25010748509297,-5.684965903451881,0.0,-12.006922507066601,-40.635776605506734,-84.93493592470115,-144.0711045425565,-217.329316985505
