,r=-2500 mm,r=-2000 mm,r=-1500 mm,r=-1000 mm,r=-500 mm,r=0 mm,r=500 mm,r=1000 mm,r=1500 mm,r=2000 mm,r=2500 mm
"(r, 0)",-138.4152789837818,-88.64378463179033,-49.8875065163314,-22.1802815186709,-5.546278839712932,0.0,-5.546278839712932,-22.1802815186709,-49.8875065163314,-88.64378463179033,-138.4152789837818
"(0, r)",-113.54488077863599,-71.36914783674335,-39.12859759088345,-16.619566839108924,-3.6421101774670857,0.0,-5.500726498744477,-19.955497663732064,-43.17923928298902,-74.99059494253642,-115.21192602638996
