mcerow,initial_value,comment
11,-1.28E-03,R1
12,-1,c1
18,-226.86,l1l2
20,2.21E-03,r2
21,-1,c2
27,-71.46,l2ly
29,-142,lyl3
33,-2.75E-03,r3
34,-1,c3
40,-108.99,l3img
13,0,
14,0,
15,0,
16,0,
22,0,
23,0,
24,0,
25,0,
35,0,
36,0,
37,0,
38,0,
