mcerow_variable_first_it,mcerow_variable_second_it,mcerow_variable_third_it
14,14,18
15,15,
25,16,
26,17,
36,18,
37,25,
47,26,
49,27,
51,28,
53,29,
,36,
,37,
,38,
,39,
,40,
,47,
,49,
,51,
,53,
