Date:  23:24; lundi; février 21; 2022
Nom du modèle: FEA_Mirror3Ra_WithCone
Nom de l'étude: M3Ra_El00Pa00ct_Bonded(-Défaut-)
Type de tracé: Déplacement statique DispZ
Type de résultat: UZ 

        
Valeur	Unité
Somme	1 008.785828	mm
Moyenne	0.060222	mm
Max	0.349747	mm
Min	-0.150740	mm
Moyenne quadratique	0.134747	mm

Noeud	Valeur	X_mm	Y_mm	Z_mm	Composants
126484	-0.145991	994.37786865	-2 646.81396484	379.14984131	Mirror3Ra_Left-1
126485	-0.126738	1 485.51257324	-2 342.52856445	375.10754395	Mirror3Ra_Left-1
126486	-0.120140	1 582.23425293	-2 262.20678711	374.03256226	Mirror3Ra_Left-1
126487	-0.112929	1 674.17553711	-2 178.15893555	372.90936279	Mirror3Ra_Left-1
126488	-0.132782	1 380.13867188	-2 421.53662109	376.16445923	Mirror3Ra_Left-1
126489	-0.097199	1 844.79858398	-1 998.98693848	370.53375244	Mirror3Ra_Left-1
126490	-0.064137	2 131.16162109	-1 605.20983887	365.51257324	Mirror3Ra_Left-1
126491	-0.055897	2 191.63867188	-1 500.27294922	364.24612427	Mirror3Ra_Left-1
126492	-0.081703	1 988.34606934	-1 819.35888672	368.20025635	Mirror3Ra_Left-1
126493	-0.073048	2 061.44824219	-1 714.94421387	366.87570190	Mirror3Ra_Left-1
126494	-0.089459	1 918.78869629	-1 910.19177246	369.37258911	Mirror3Ra_Left-1
126495	-0.011804	2 434.02587891	-923.68896484	358.06927490	Mirror3Ra_Left-1
126496	-0.001957	2 470.55639648	-793.63873291	356.89929199	Mirror3Ra_Left-1
126497	-0.029694	2 352.17504883	-1 158.24829102	360.40274048	Mirror3Ra_Left-1
126498	-0.021057	2 394.20190430	-1 045.41149902	359.24569702	Mirror3Ra_Left-1
126499	-0.047281	2 250.37792969	-1 387.65039063	362.92880249	Mirror3Ra_Left-1
126500	-0.038568	2 303.92602539	-1 273.41113281	361.64279175	Mirror3Ra_Left-1
126501	-0.105516	1 759.19812012	-2 092.96508789	371.77517700	Mirror3Ra_Left-1
126502	-0.140264	1 197.22192383	-2 539.97875977	377.74121094	Mirror3Ra_Left-1
126503	-0.147442	926.67108154	-2 677.26586914	379.54788208	Mirror3Ra_Left-1
126504	-0.144320	1 061.33093262	-2 614.20385742	378.72174072	Mirror3Ra_Left-1
126505	-0.135341	1 324.55529785	-2 459.92553711	376.67678833	Mirror3Ra_Left-1
126506	-0.006836	2 453.22729492	-858.03497314	357.46716309	Mirror3Ra_Left-1
126507	0.002782	2 486.11401367	-730.57250977	356.36563110	Mirror3Ra_Left-1
143050	0.000246	1 250.00000000	-695.75347900	100.95568848	Mirror3Ra_Left-1
143051	-0.002838	1 875.00000000	-695.75207520	207.60995483	Mirror3Ra_Left-1
143052	0.047970	1 875.00000000	-0.00230968	186.66722107	Mirror3Ra_Left-1
143053	0.013924	625.00000000	-695.75427246	37.18397141	Mirror3Ra_Left-1
143054	0.052320	625.00000000	-0.00447021	20.67448997	Mirror3Ra_Left-1
143055	-0.055309	1 250.00000000	-1 391.50268555	165.81111145	Mirror3Ra_Left-1
143056	-0.051807	1 875.00000000	-1 391.50134277	275.85177612	Mirror3Ra_Left-1
143057	0.046209	1 250.00000000	-0.00366163	82.79750061	Mirror3Ra_Left-1
143058	-0.108516	625.00000000	-2 087.25219727	212.90689087	Mirror3Ra_Left-1
143059	-0.049883	625.00000000	-1 391.50354004	100.02954865	Mirror3Ra_Left-1
143060	0.086936	625.00000000	695.74597168	47.77409744	Mirror3Ra_Left-1
143061	0.150349	625.00000000	1 391.49694824	116.58761597	Mirror3Ra_Left-1
143062	0.245755	625.00000000	2 087.24829102	225.91487122	Mirror3Ra_Left-1
143063	0.164675	1 250.00000000	1 391.49755859	176.31091309	Mirror3Ra_Left-1
143064	0.096185	1 250.00000000	695.74670410	108.56310272	Mirror3Ra_Left-1
143065	0.111533	1 875.00000000	695.74804688	210.17280579	Mirror3Ra_Left-1
143066	0.184031	1 875.00000000	1 391.49890137	276.10775757	Mirror3Ra_Left-1
143067	-0.112027	1 250.00000000	-2 087.25122070	281.10580444	Mirror3Ra_Left-1
143068	0.256780	1 250.00000000	2 087.24902344	284.79437256	Mirror3Ra_Left-1
143069	0.028627	312.50000000	-543.90319824	13.91587448	Mirror3Ra_Left-1
143070	0.051001	312.50000000	-98.01648712	4.74791527	Mirror3Ra_Left-1
143071	0.046927	312.50000000	-196.02827454	5.19780254	Mirror3Ra_Left-1
143072	-0.095667	312.50000000	-1 952.62597656	170.05862427	Mirror3Ra_Left-1
143073	-0.035732	312.50000000	-1 303.95324707	73.10725403	Mirror3Ra_Left-1
143074	0.009810	312.50000000	-815.79956055	28.63313293	Mirror3Ra_Left-1
143075	-0.021767	312.50000000	-1 163.67407227	57.89963531	Mirror3Ra_Left-1
143076	0.097747	312.50000000	875.88940430	46.54641342	Mirror3Ra_Left-1
143077	0.133480	312.50000000	1 269.69665527	86.63502502	Mirror3Ra_Left-1
143078	0.060828	312.50000000	154.31361389	7.57262230	Mirror3Ra_Left-1
143079	0.066133	312.50000000	288.01223755	11.36718845	Mirror3Ra_Left-1
143080	-0.128772	138.64866638	-2 418.62622070	263.61996460	Mirror3Ra_Left-1
143081	-0.128672	69.32894897	-2 418.62622070	262.76696777	Mirror3Ra_Left-1
143082	0.140938	312.50000000	1 336.69653320	94.75464630	Mirror3Ra_Left-1
143083	-0.104068	312.50000000	-2 060.44335938	190.58277893	Mirror3Ra_Left-1
143084	-0.047125	312.50000000	-1 419.09497070	87.08648682	Mirror3Ra_Left-1
143085	-0.062094	312.50000000	-1 574.66406250	108.15299988	Mirror3Ra_Left-1
143086	0.155303	312.50000000	1 455.88940430	110.12695313	Mirror3Ra_Left-1
143087	0.164464	312.50000000	1 527.58374023	119.94377899	Mirror3Ra_Left-1
143088	-0.135275	69.32894897	-2 520.89721680	287.66625977	Mirror3Ra_Left-1
143089	0.019343	312.50000000	-687.80291748	20.82770729	Mirror3Ra_Left-1
143090	0.089990	312.50000000	762.25158691	37.42392349	Mirror3Ra_Left-1
143091	0.055704	312.50000000	22.74970055	5.38793516	Mirror3Ra_Left-1
143092	0.020454	1 562.50000000	-347.87805176	133.51599121	Mirror3Ra_Left-1
143093	0.023903	312.50000000	-619.82885742	17.31852722	Mirror3Ra_Left-1
143094	-0.027435	1 562.50000000	-1 043.62744141	175.99722290	Mirror3Ra_Left-1
143095	0.029084	937.50000000	-347.87911987	49.52009583	Mirror3Ra_Left-1
143096	-0.085625	937.50000000	-1 739.37756348	177.80871582	Mirror3Ra_Left-1
143097	-0.021363	937.50000000	-1 043.62866211	89.55718994	Mirror3Ra_Left-1
143098	0.218866	312.50000000	1 927.63867188	182.54696655	Mirror3Ra_Left-1
143099	0.200924	937.50000000	1 739.37280273	190.92408752	Mirror3Ra_Left-1
143100	0.118335	937.50000000	1 043.62170410	102.13516998	Mirror3Ra_Left-1
143101	0.068811	937.50000000	347.87100220	54.48386383	Mirror3Ra_Left-1
143102	0.136897	1 562.50000000	1 043.62268066	182.53257751	Mirror3Ra_Left-1
143103	0.074120	1 562.50000000	347.87207031	136.48619080	Mirror3Ra_Left-1
143104	-0.124842	946.43060303	-2 292.06884766	286.05075073	Mirror3Ra_Left-1
143105	-0.082722	1 504.59899902	-1 742.23400879	257.50689697	Mirror3Ra_Left-1
143106	0.210236	1 562.50000000	1 677.49975586	260.61041260	Mirror3Ra_Left-1
143107	0.290979	107.84535217	2 424.06274414	274.27355957	Mirror3Ra_Left-1
143108	0.293290	420.34536743	2 418.62426758	281.34768677	Mirror3Ra_Left-1
143109	0.075591	156.25000000	497.03637695	16.63186455	Mirror3Ra_Left-1
143110	0.239070	312.50000000	2 068.42309570	207.72080994	Mirror3Ra_Left-1
143111	-0.126902	875.41326904	-2 333.80346680	287.93347168	Mirror3Ra_Left-1
143112	-0.128506	809.68890381	-2 367.03295898	289.09707642	Mirror3Ra_Left-1
143113	0.304908	107.84535217	2 513.77392578	293.78814697	Mirror3Ra_Left-1
143114	-0.130897	680.61395264	-2 418.62597656	289.90643311	Mirror3Ra_Left-1
143115	-0.130439	612.84667969	-2 418.62597656	284.71475220	Mirror3Ra_Left-1
143116	-0.129961	545.05310059	-2 418.62597656	280.06637573	Mirror3Ra_Left-1
143117	-0.129463	451.14865112	-2 418.62597656	274.52798462	Mirror3Ra_Left-1
143118	-0.021020	2 089.46289063	-984.58172607	277.15872192	Mirror3Ra_Left-1
143119	0.068648	2 187.50000000	185.06672668	255.98641968	Mirror3Ra_Left-1
143120	0.282414	936.94525146	2 298.01123047	291.29718018	Mirror3Ra_Left-1
143121	-0.002637	1 562.50000000	-695.75286865	148.89317322	Mirror3Ra_Left-1
143122	0.021508	1 875.00000000	-347.87725830	191.42547607	Mirror3Ra_Left-1
143123	0.035530	625.00000000	-347.87945557	23.32875252	Mirror3Ra_Left-1
143124	-0.054291	1 562.50000000	-1 391.50207520	215.26679993	Mirror3Ra_Left-1
143125	-0.026848	1 875.00000000	-1 043.62683105	235.60408020	Mirror3Ra_Left-1
143126	0.006291	937.50000000	-695.75396729	63.73538971	Mirror3Ra_Left-1
