,area_above_0p7,area_above_0p8,area_above_0p9,configuration,x_mm,y_mm
0,0.9981054115313763,0.9981054115313763,0.9981054115313763,1,0.0,0.0
1,0.9942952928552232,0.9942952928552232,0.9942952928552232,2,219.0,0.0
2,0.9957018183946674,0.9957018183946674,0.9957018183946674,3,109.5,189.6595634
3,0.9955370910068752,0.9955370910068752,0.9955370910068752,4,-109.5,189.6595634
4,0.9952542934916159,0.9952542934916159,0.9952542934916159,5,-219.0,0.0
5,0.9960902425303795,0.9960902425303795,0.9960902425303795,6,-109.5,-189.6595634
6,0.9973545697741231,0.9973545697741231,0.9973545697741231,7,109.5,-189.6595634
7,0.9940905248382005,0.9940905248382005,0.9940905248382005,8,438.0,0.0
8,0.9979629362899558,0.9979629362899558,0.9979629362899558,9,328.5,189.6595634
9,0.9959347832310015,0.9959347832310015,0.9959347832310015,10,219.0,379.3191269
10,0.9960904973085979,0.9960904973085979,0.9960904973085979,11,0.0,379.3191269
11,0.9943127308919021,0.9943127308919021,0.9943127308919021,12,-219.0,379.3191269
12,0.9955801606537548,0.9955801606537548,0.9955801606537548,13,-328.5,189.6595634
13,0.9964335909786876,0.9964335909786876,0.9964335909786876,14,-438.0,0.0
14,0.9983772823211547,0.9983772823211547,0.9983772823211547,15,-328.5,-189.6595634
15,1.0043188635217584,1.0043188635217584,1.0043188635217584,16,-219.0,-379.3191269
16,1.0033505204057827,1.0033505204057827,1.0033505204057827,17,0.0,-379.3191269
17,1.0051842317806965,1.0051842317806965,1.0051842317806965,18,219.0,-379.3191269
18,0.9963985837718699,0.9963985837718699,0.9963985837718699,19,328.5,-189.6595634
19,0.9973266090769333,0.9973266090769333,0.9973266090769333,20,657.0,0.0
20,0.9957827387510123,0.9957827387510123,0.9957827387510123,21,547.5,189.6595634
21,0.9952099848646585,0.9952099848646585,0.9952099848646585,22,438.0,379.3191269
22,0.9932614655580693,0.9932614655580693,0.9932614655580693,23,328.5,568.9786903
23,0.9950261196827698,0.9950261196827698,0.9950261196827698,24,109.5,568.9786903
24,0.994366450976357,0.994366450976357,0.994366450976357,25,-109.5,568.9786903
25,0.9964103843320803,0.9964103843320803,0.9964103843320803,26,-328.5,568.9786903
26,0.9979025321635657,0.9979025321635657,0.9979025321635657,27,-438.0,379.3191269
27,0.995437227959396,0.995437227959396,0.995437227959396,28,-547.5,189.6595634
28,0.9951695585155365,0.9951695585155365,0.9951695585155365,29,-657.0,0.0
29,0.9950780306017708,0.9950780306017708,0.9950780306017708,30,-547.5,-189.6595634
30,1.0038880123553868,1.0038880123553868,1.0038880123553868,31,-438.0,-379.3191269
31,1.0004491267560416,1.0004491267560416,1.0004491267560416,32,-328.5,-568.9786903
32,1.000789016349952,1.000789016349952,1.000789016349952,33,-109.5,-568.9786903
33,0.9999827058259456,0.9999827058259456,0.9999827058259456,34,109.5,-568.9786903
34,1.0002540788901948,1.0002540788901948,1.0002540788901948,35,328.5,-568.9786903
35,1.0039577534734752,1.0039577534734752,1.0039577534734752,36,438.0,-379.3191269
36,0.9978515604364534,0.9978515604364534,0.9978515604364534,37,547.5,-189.6595634
37,0.995815163599739,0.995815163599739,0.995815163599739,38,876.0,0.0
38,0.9962363843812051,0.9962363843812051,0.9962363843812051,39,766.5,189.6595634
39,0.9964250009649852,0.9964250009649852,0.9964250009649852,40,657.0,379.3191269
40,0.9949595550553209,0.9949595550553209,0.9949595550553209,41,547.5,568.9786903
41,0.9947526389068481,0.9947526389068481,0.9947526389068481,42,438.0,758.6382537
42,0.9961044771704214,0.9961044771704214,0.9961044771704214,43,219.0,758.6382537
43,0.9947857905615789,0.9947857905615789,0.9947857905615789,44,0.0,758.6382537
44,0.9951828765897902,0.9951828765897902,0.9951828765897902,45,-219.0,758.6382537
45,0.9940063832013012,0.9940063832013012,0.9940063832013012,46,-438.0,758.6382537
46,0.9960511534600275,0.9960511534600275,0.9960511534600275,47,-547.5,568.9786903
47,0.9950708119791677,0.9950708119791677,0.9950708119791677,48,-657.0,379.3191269
48,0.9948620718783099,0.9948620718783099,0.9948620718783099,49,-766.5,189.6595634
49,0.995388133452493,0.995388133452493,0.995388133452493,50,-876.0,0.0
50,0.9964663301866706,0.9964663301866706,0.9964663301866706,51,-766.5,-189.6595634
51,0.9965001422085085,0.9965001422085085,0.9965001422085085,52,-657.0,-379.3191269
52,1.0044611879455168,1.0044611879455168,1.0044611879455168,53,-547.5,-568.9786903
53,1.004942160798636,1.004942160798636,1.004942160798636,54,-438.0,-758.6382537
54,0.9969196634765922,0.9969196634765922,0.9969196634765922,55,-219.0,-758.6382537
55,0.9988456624968597,0.9988456624968597,0.9988456624968597,56,0.0,-758.6382537
56,0.9978834433520902,0.9978834433520902,0.9978834433520902,57,219.0,-758.6382537
57,1.0024839596353907,1.0024839596353907,1.0024839596353907,58,438.0,-758.6382537
58,1.0024597478271975,1.0024597478271975,1.0024597478271975,59,547.5,-568.9786903
59,0.995965026093705,0.995965026093705,0.995965026093705,60,657.0,-379.3191269
